a_x,a_y,a_z,j_x,j_y,j_z
1.72,-5.81,8.49,0.31,0.34,0.08
1.50,-6.07,8.37,-0.22,-0.26,-0.13
1.72,-5.95,8.51,0.22,0.12,0.14
1.53,-5.95,8.37,-0.19,0.01,-0.14
1.61,-5.94,8.39,0.08,0.00,0.02
1.40,-6.03,8.56,-0.21,-0.08,0.17
1.65,-6.23,8.47,0.25,-0.20,-0.09
1.73,-6.30,8.49,0.08,-0.07,0.02
1.75,-6.22,8.52,0.02,0.07,0.03
1.84,-5.89,8.65,0.10,0.34,0.13
1.71,-5.86,8.36,-0.13,0.03,-0.28
1.41,-5.87,8.23,-0.30,-0.01,-0.13
1.34,-5.54,8.37,-0.07,0.33,0.14
1.14,-5.72,8.15,-0.20,-0.18,-0.22
1.33,-6.27,8.31,0.19,-0.55,0.16
1.22,-6.26,8.41,-0.11,0.01,0.10
1.43,-6.24,8.35,0.21,0.01,-0.06
1.30,-5.97,8.43,-0.12,0.27,0.08
1.34,-5.88,8.37,0.03,0.10,-0.06
1.40,-6.19,8.32,0.06,-0.32,-0.05
1.33,-6.19,8.38,-0.07,0.00,0.06
1.15,-5.94,8.40,-0.18,0.25,0.02
1.08,-6.04,8.32,-0.06,-0.10,-0.08
1.38,-6.07,8.39,0.30,-0.03,0.08
1.44,-6.15,8.41,0.05,-0.08,0.01
1.66,-6.04,8.49,0.23,0.11,0.08
1.73,-6.10,8.58,0.07,-0.06,0.09
1.93,-5.85,8.62,0.20,0.25,0.04
1.53,-6.07,8.53,-0.40,-0.22,-0.09
1.51,-6.06,8.38,-0.02,0.01,-0.15
1.55,-5.97,8.37,0.04,0.09,-0.01
2.12,-5.99,8.74,0.56,-0.02,0.37
1.54,-6.34,8.32,-0.58,-0.35,-0.42
1.53,-6.05,8.46,-0.01,0.29,0.15
1.23,-5.91,8.35,-0.30,0.14,-0.11
1.36,-5.90,8.35,0.12,0.00,0.00
1.39,-5.74,8.44,0.04,0.17,0.09
1.80,-5.58,8.47,0.41,0.15,0.03
