a_x,a_y,a_z,j_x,j_y,j_z
2.62,-4.33,9.15,-0.12,-0.02,-0.06
2.68,-4.44,9.16,0.07,-0.11,0.00
2.64,-4.52,9.18,-0.05,-0.08,0.02
2.46,-4.52,9.23,-0.18,0.00,0.05
2.53,-4.55,9.24,0.07,-0.04,0.01
2.63,-4.60,9.31,0.11,-0.05,0.07
2.77,-4.67,9.29,0.14,-0.07,-0.02
2.62,-4.60,9.20,-0.15,0.06,-0.09
2.76,-4.42,9.20,0.14,0.18,-0.00
2.45,-4.36,9.09,-0.31,0.06,-0.11
2.46,-4.40,9.16,0.01,-0.04,0.06
2.42,-4.53,9.17,-0.05,-0.13,0.01
2.48,-4.51,9.31,0.06,0.02,0.14
2.65,-4.58,9.36,0.17,-0.07,0.05
2.57,-4.47,9.32,-0.07,0.11,-0.04
2.34,-4.37,9.16,-0.23,0.11,-0.16
1.79,-3.89,8.94,-0.55,0.48,-0.22
1.05,-5.57,7.88,-0.74,-1.68,-1.06
3.90,-4.13,8.96,2.85,1.44,1.08
6.25,-8.28,9.80,2.35,-4.15,0.84
3.52,-6.32,7.83,-2.73,1.96,-1.97
2.95,-5.97,8.45,-0.57,0.35,0.62
4.03,-6.54,9.26,1.07,-0.57,0.81
3.06,-4.72,7.71,-0.97,1.82,-1.55
1.59,-3.90,7.98,-1.46,0.82,0.27
2.42,-3.12,9.11,0.82,0.77,1.13
2.43,-3.62,9.81,0.02,-0.49,0.70
2.76,-3.01,9.96,0.32,0.60,0.15
2.47,-3.11,9.74,-0.28,-0.10,-0.22
1.90,-3.41,9.02,-0.57,-0.29,-0.72
-0.30,-4.34,8.02,-2.21,-0.93,-1.00
2.25,-6.33,7.74,2.55,-2.00,-0.28
8.52,-7.10,9.76,6.27,-0.77,2.02
3.48,-6.96,7.97,-5.04,0.15,-1.79
1.93,-6.11,7.73,-1.54,0.85,-0.24
2.85,-6.07,8.54,0.92,0.04,0.81
5.74,-5.68,10.00,2.89,0.40,1.46
1.85,-5.53,7.14,-3.89,0.15,-2.85
0.64,-3.14,8.28,-1.21,2.38,1.13
1.96,-3.16,9.78,1.32,-0.01,1.50
3.30,-2.60,10.62,1.34,0.56,0.84
1.91,-3.50,9.86,-1.39,-0.90,-0.76
1.87,-3.44,9.04,-0.04,0.07,-0.82
0.43,-2.66,7.96,-1.44,0.78,-1.08
0.63,-4.50,7.09,0.20,-1.84,-0.87
8.77,-8.17,10.70,8.14,-3.67,3.60
3.62,-6.44,7.63,-5.15,1.72,-3.06
1.36,-6.43,7.66,-2.26,0.01,0.03
4.59,-6.00,9.55,3.23,0.43,1.89
4.75,-5.08,9.58,0.15,0.93,0.03
2.51,-6.58,8.46,-2.24,-1.51,-1.12
1.86,-3.86,7.99,-0.65,2.72,-0.46
1.15,-2.81,9.04,-0.71,1.05,1.05
1.06,-3.53,9.55,-0.09,-0.72,0.51
2.28,-2.25,9.64,1.23,1.28,0.09
0.73,-4.64,8.68,-1.56,-2.38,-0.96
3.01,-3.94,8.14,2.29,0.70,-0.54
3.86,-4.60,8.86,0.85,-0.66,0.72
6.07,-7.81,9.02,2.20,-3.21,0.17
4.29,-5.84,8.32,-1.78,1.96,-0.70
1.77,-5.45,7.76,-2.51,0.39,-0.56
2.46,-6.72,8.22,0.69,-1.27,0.45
4.49,-6.19,9.18,2.03,0.54,0.96
2.93,-6.11,8.17,-1.56,0.07,-1.01
2.03,-4.46,8.50,-0.90,1.66,0.33
1.29,-3.56,9.25,-0.74,0.89,0.75
2.03,-3.48,10.01,0.74,0.09,0.76
2.66,-2.97,10.11,0.63,0.50,0.10
2.57,-4.43,9.93,-0.09,-1.46,-0.18
1.93,-3.09,9.00,-0.65,1.35,-0.93
-1.59,-2.97,7.31,-3.52,0.12,-1.68
5.88,-7.77,9.04,7.48,-4.80,1.72
7.11,-6.08,9.58,1.23,1.69,0.54
0.40,-7.38,5.82,-6.72,-1.30,-3.75
2.23,-7.00,8.02,1.83,0.38,2.20
4.07,-5.65,8.88,1.84,1.35,0.86
4.13,-6.68,9.04,0.06,-1.04,0.16
2.66,-6.31,7.81,-1.47,0.37,-1.23
1.84,-4.77,8.35,-0.82,1.54,0.54
1.52,-3.76,8.84,-0.31,1.01,0.49
1.35,-2.69,9.52,-0.17,1.06,0.68
1.82,-3.21,9.54,0.47,-0.51,0.02
2.09,-2.95,8.53,0.27,0.26,-1.01
0.74,-5.02,7.11,-1.35,-2.07,-1.43
8.08,-7.21,10.35,7.34,-2.20,3.25
3.37,-6.69,7.34,-4.71,0.52,-3.02
1.58,-6.78,7.11,-1.78,-0.09,-0.22
3.36,-6.04,7.72,1.78,0.74,0.61
3.32,-5.83,8.20,-0.04,0.21,0.48
3.76,-6.91,8.60,0.44,-1.08,0.39
4.65,-7.63,8.42,0.90,-0.71,-0.18
